claim_id	description	value	source_file	derivation	section	script
R-171.male	Strongest MR associations, male	HLA-DRB1 OR 0.337, FDR 1.5e-247, 1 SNP, Wald ratio; WDR46 OR 4.531, FDR 3.8e-39, 1 SNP, Wald ratio; AIF1 OR 0.556, FDR 1.2e-21, 2 SNP, Inverse variance weighted; VPS52 OR 0.414, FDR 1.5e-21, 1 SNP, Wald ratio; VARS2 OR 1.203, FDR 3.2e-14, 3 SNP, Inverse variance weighted; AP4B1 OR 1.424, FDR 3.2e-10, 1 SNP, Wald ratio	FS_input_male.csv	6 smallest MR_pval	2.6 Mendelian randomisation, incl. MHC sensitivity analysis	scripts/00_shared/10_MR.R
R-172.male	Single-instrument genes among FS input, male	19/25	FS_input_male.csv	count nSNP==1	2.6 Mendelian randomisation, incl. MHC sensitivity analysis	scripts/00_shared/10_MR.R
R-173.male	MHC-free FS input gene count, male	14	FS_input_male_noMHC.csv	row count	2.6 Mendelian randomisation, incl. MHC sensitivity analysis	scripts/00_shared/10c_MR_mhc_sensitivity.R
R-175	MR-prioritised genes shared by both strata	24	FS_input_{female,male}.csv	set intersection	2.6 Mendelian randomisation, incl. MHC sensitivity analysis	scripts/00_shared/10_MR.R
R-176	Female-list-only MR-prioritised genes	8 (FCGR2B, GNL1, HLA-DPA1, IKZF4, LAX1, LSM2, RETSAT, ZBTB9)	FS_input_{female,male}.csv	set difference	2.6 Mendelian randomisation, incl. MHC sensitivity analysis	scripts/00_shared/10_MR.R
R-177	Male-list-only MR-prioritised genes	1 (TAB1)	FS_input_{female,male}.csv	set difference	2.6 Mendelian randomisation, incl. MHC sensitivity analysis	scripts/00_shared/10_MR.R
R-180.All_causal_genes	Colocalisation tally: All causal genes	n=33, colocalised=0, prior-fragile=2, suggestive=4, distinct=9, MHC-unreliable=13, inconclusive=5	COLOC_summary.csv	all columns of that row	2.7 Bayesian colocalisation (coloc.abf, coloc.susie)	scripts/00_shared/10d_coloc_panel_genes.R
R-180.MHC_genes	Colocalisation tally: MHC genes	n=14, colocalised=0, prior-fragile=0, suggestive=0, distinct=0, MHC-unreliable=13, inconclusive=1	COLOC_summary.csv	all columns of that row	2.7 Bayesian colocalisation (coloc.abf, coloc.susie)	scripts/00_shared/10d_coloc_panel_genes.R
R-180.non-MHC_genes	Colocalisation tally: non-MHC genes	n=19, colocalised=0, prior-fragile=2, suggestive=4, distinct=9, MHC-unreliable=0, inconclusive=4	COLOC_summary.csv	all columns of that row	2.7 Bayesian colocalisation (coloc.abf, coloc.susie)	scripts/00_shared/10d_coloc_panel_genes.R
R-180.Final_panels_(F_union_M)	Colocalisation tally: Final panels (F union M)	n=9, colocalised=0, prior-fragile=0, suggestive=1, distinct=2, MHC-unreliable=4, inconclusive=2	COLOC_summary.csv	all columns of that row	2.7 Bayesian colocalisation (coloc.abf, coloc.susie)	scripts/00_shared/10d_coloc_panel_genes.R
R-181.IKZF3	Coloc posteriors, IKZF3	PP.H3 0.226, PP.H4 0.774, PP.H4@p12=1e-6 0.255, 811 SNPs, MHC=FALSE	COLOC_panel_genes.csv	cols PP3, PP4, PP4_cons, nsnp_coloc, MHC_gene	2.7 Bayesian colocalisation (coloc.abf, coloc.susie)	scripts/00_shared/10d_coloc_panel_genes.R
R-181.MED1	Coloc posteriors, MED1	PP.H3 0.552, PP.H4 0.431, PP.H4@p12=1e-6 0.070, 722 SNPs, MHC=FALSE	COLOC_panel_genes.csv	cols PP3, PP4, PP4_cons, nsnp_coloc, MHC_gene	2.7 Bayesian colocalisation (coloc.abf, coloc.susie)	scripts/00_shared/10d_coloc_panel_genes.R
R-181.SMARCC2	Coloc posteriors, SMARCC2	PP.H3 0.709, PP.H4 0.275, PP.H4@p12=1e-6 0.037, 365 SNPs, MHC=FALSE	COLOC_panel_genes.csv	cols PP3, PP4, PP4_cons, nsnp_coloc, MHC_gene	2.7 Bayesian colocalisation (coloc.abf, coloc.susie)	scripts/00_shared/10d_coloc_panel_genes.R
R-181.INPP5B	Coloc posteriors, INPP5B	PP.H3 0.929, PP.H4 0.069, PP.H4@p12=1e-6 0.007, 888 SNPs, MHC=FALSE	COLOC_panel_genes.csv	cols PP3, PP4, PP4_cons, nsnp_coloc, MHC_gene	2.7 Bayesian colocalisation (coloc.abf, coloc.susie)	scripts/00_shared/10d_coloc_panel_genes.R
R-181.ESYT1	Coloc posteriors, ESYT1	PP.H3 0.912, PP.H4 0.068, PP.H4@p12=1e-6 0.007, 317 SNPs, MHC=FALSE	COLOC_panel_genes.csv	cols PP3, PP4, PP4_cons, nsnp_coloc, MHC_gene	2.7 Bayesian colocalisation (coloc.abf, coloc.susie)	scripts/00_shared/10d_coloc_panel_genes.R
R-181.GNL1	Coloc posteriors, GNL1	PP.H3 1.000, PP.H4 0.000, PP.H4@p12=1e-6 0.000, 1885 SNPs, MHC=TRUE	COLOC_panel_genes.csv	cols PP3, PP4, PP4_cons, nsnp_coloc, MHC_gene	2.7 Bayesian colocalisation (coloc.abf, coloc.susie)	scripts/00_shared/10d_coloc_panel_genes.R
R-181.C6orf136	Coloc posteriors, C6orf136	PP.H3 1.000, PP.H4 0.000, PP.H4@p12=1e-6 0.000, 1911 SNPs, MHC=TRUE	COLOC_panel_genes.csv	cols PP3, PP4, PP4_cons, nsnp_coloc, MHC_gene	2.7 Bayesian colocalisation (coloc.abf, coloc.susie)	scripts/00_shared/10d_coloc_panel_genes.R
R-181.VPS52	Coloc posteriors, VPS52	PP.H3 1.000, PP.H4 0.000, PP.H4@p12=1e-6 0.000, 2182 SNPs, MHC=TRUE	COLOC_panel_genes.csv	cols PP3, PP4, PP4_cons, nsnp_coloc, MHC_gene	2.7 Bayesian colocalisation (coloc.abf, coloc.susie)	scripts/00_shared/10d_coloc_panel_genes.R
R-181.HLA-DMA	Coloc posteriors, HLA-DMA	PP.H3 1.000, PP.H4 0.000, PP.H4@p12=1e-6 0.000, 4193 SNPs, MHC=TRUE	COLOC_panel_genes.csv	cols PP3, PP4, PP4_cons, nsnp_coloc, MHC_gene	2.7 Bayesian colocalisation (coloc.abf, coloc.susie)	scripts/00_shared/10d_coloc_panel_genes.R
R-190	coloc.susie: MHC genes attempted / resolved	14 attempted, 3 resolved	COLOC_SUSIE_mhc.csv	count rows; status=='ok'	2.7 Bayesian colocalisation (coloc.abf, coloc.susie)	scripts/00_shared/10e_coloc_susie_mhc.R
R-191.WDR46	SuSiE result, WDR46	1 eQTL sets, 9 RA sets, best PP.H4 0.918 - COLOCALISED with an RA signal (multi-variant model)	COLOC_SUSIE_mhc.csv	cols n_cs_eqtl, n_cs_gwas, best_PP_H4, susie_verdict	2.7 Bayesian colocalisation (coloc.abf, coloc.susie)	scripts/00_shared/10e_coloc_susie_mhc.R
R-191.HLA-DMA	SuSiE result, HLA-DMA	3 eQTL sets, 9 RA sets, best PP.H4 0.323 - INCONCLUSIVE under the multi-variant model	COLOC_SUSIE_mhc.csv	cols n_cs_eqtl, n_cs_gwas, best_PP_H4, susie_verdict	2.7 Bayesian colocalisation (coloc.abf, coloc.susie)	scripts/00_shared/10e_coloc_susie_mhc.R
R-191.GNL1	SuSiE result, GNL1	1 eQTL sets, 10 RA sets, best PP.H4 0.000 - DISTINCT VARIANTS (valid: multiple signals modelled)	COLOC_SUSIE_mhc.csv	cols n_cs_eqtl, n_cs_gwas, best_PP_H4, susie_verdict	2.7 Bayesian colocalisation (coloc.abf, coloc.susie)	scripts/00_shared/10e_coloc_susie_mhc.R
R-192	Independent RA credible sets found in MHC regions	9-10	COLOC_SUSIE_mhc.csv	range of n_cs_gwas (non-zero)	2.7 Bayesian colocalisation (coloc.abf, coloc.susie)	scripts/00_shared/10e_coloc_susie_mhc.R
R-200.Female	Selector yields, Female (primary)	LASSO 7, RF 10, SVM-RFE 8, consensus 6	mr_fs_summary.csv	cols n_lasso, n_rf, n_svmrfe, n_consensus	2.8 Sex-stratified feature selection (LASSO / RF / SVM-RFE consensus)	scripts/goal2_sex_stratified/12_feature_selection.R
R-201.Female	Primary consensus panel, Female	C6orf136; ESYT1; GNL1; IKZF3; MED1; SMARCC2	mr_fs_summary.csv	col consensus_genes	2.8 Sex-stratified feature selection (LASSO / RF / SVM-RFE consensus)	scripts/goal2_sex_stratified/12_feature_selection.R
R-202.Female	Tuned hyperparameters, Female	lambda.min 0.0434, mtry 2, SVM cost 0.01	mr_fs_summary.csv	tuned_* columns	2.8 Sex-stratified feature selection (LASSO / RF / SVM-RFE consensus)	scripts/goal2_sex_stratified/12_feature_selection.R
R-200.Male	Selector yields, Male (primary)	LASSO 10, RF 10, SVM-RFE 11, consensus 6	mr_fs_summary.csv	cols n_lasso, n_rf, n_svmrfe, n_consensus	2.8 Sex-stratified feature selection (LASSO / RF / SVM-RFE consensus)	scripts/goal2_sex_stratified/12_feature_selection.R
R-201.Male	Primary consensus panel, Male	ESYT1; HLA-DMA; INPP5B; MED1; SMARCC2; VPS52	mr_fs_summary.csv	col consensus_genes	2.8 Sex-stratified feature selection (LASSO / RF / SVM-RFE consensus)	scripts/goal2_sex_stratified/12_feature_selection.R
R-202.Male	Tuned hyperparameters, Male	lambda.min 0.0204, mtry 1, SVM cost 0.01	mr_fs_summary.csv	tuned_* columns	2.8 Sex-stratified feature selection (LASSO / RF / SVM-RFE consensus)	scripts/goal2_sex_stratified/12_feature_selection.R
R-205.Female	MHC-free consensus panel, Female	4 genes: CDC37; IKZF3; MED1; SMARCC2	mr_fs_summary_noMHC.csv	cols n_consensus, consensus_genes	2.8 Sex-stratified feature selection (LASSO / RF / SVM-RFE consensus)	scripts/goal2_sex_stratified/12b_feature_selection_noMHC.R
R-205.Male	MHC-free consensus panel, Male	5 genes: MED1; NCOA5; PHF19; SMARCC2; TAB1	mr_fs_summary_noMHC.csv	cols n_consensus, consensus_genes	2.8 Sex-stratified feature selection (LASSO / RF / SVM-RFE consensus)	scripts/goal2_sex_stratified/12b_feature_selection_noMHC.R
R-206.DROPPED	Panel membership change: DROPPED	C6orf136(F); ESYT1(F); GNL1(F); ESYT1(M); HLA-DMA(M); INPP5B(M); VPS52(M)	PANEL_primary_vs_noMHC_membership.csv	rows with status starting DROPPED	2.8 Sex-stratified feature selection (LASSO / RF / SVM-RFE consensus)	scripts/goal2_sex_stratified/12b_feature_selection_noMHC.R
R-206.NEW	Panel membership change: NEW	CDC37(F); NCOA5(M); PHF19(M); TAB1(M)	PANEL_primary_vs_noMHC_membership.csv	rows with status starting NEW	2.8 Sex-stratified feature selection (LASSO / RF / SVM-RFE consensus)	scripts/goal2_sex_stratified/12b_feature_selection_noMHC.R
R-206.retained	Panel membership change: retained	IKZF3(F); MED1(F); SMARCC2(F); MED1(M); SMARCC2(M)	PANEL_primary_vs_noMHC_membership.csv	rows with status starting retained	2.8 Sex-stratified feature selection (LASSO / RF / SVM-RFE consensus)	scripts/goal2_sex_stratified/12b_feature_selection_noMHC.R
R-210.Female.noMHC.consensus	Nested CV AUC - Female, noMHC, consensus	0.798 (0.725-0.871), per-repeat SD 0.006, median genes 3, n=145, recommended=TRUE	NESTED_CV_AUTHORITATIVE.csv	one row of the 8-row grid	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/16d_nested_cv_reconciliation.R
R-210.Female.noMHC.elasticnet	Nested CV AUC - Female, noMHC, elasticnet	0.791 (0.716-0.866), per-repeat SD 0.003, median genes 7, n=145, recommended=FALSE	NESTED_CV_AUTHORITATIVE.csv	one row of the 8-row grid	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/16d_nested_cv_reconciliation.R
R-210.Female.primary.consensus	Nested CV AUC - Female, primary, consensus	0.816 (0.747-0.884), per-repeat SD 0.01, median genes 5, n=145, recommended=FALSE	NESTED_CV_AUTHORITATIVE.csv	one row of the 8-row grid	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/16d_nested_cv_reconciliation.R
R-210.Female.primary.elasticnet	Nested CV AUC - Female, primary, elasticnet	0.801 (0.73-0.873), per-repeat SD 0.009, median genes 12, n=145, recommended=FALSE	NESTED_CV_AUTHORITATIVE.csv	one row of the 8-row grid	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/16d_nested_cv_reconciliation.R
R-210.Male.noMHC.consensus	Nested CV AUC - Male, noMHC, consensus	0.924 (0.841-1), per-repeat SD 0.056, median genes 3, n=38, recommended=TRUE	NESTED_CV_AUTHORITATIVE.csv	one row of the 8-row grid	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/16d_nested_cv_reconciliation.R
R-210.Male.noMHC.elasticnet	Nested CV AUC - Male, noMHC, elasticnet	0.961 (0.909-1), per-repeat SD 0.028, median genes 13, n=38, recommended=FALSE	NESTED_CV_AUTHORITATIVE.csv	one row of the 8-row grid	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/16d_nested_cv_reconciliation.R
R-210.Male.primary.consensus	Nested CV AUC - Male, primary, consensus	0.896 (0.8-0.993), per-repeat SD 0.06, median genes 3, n=38, recommended=FALSE	NESTED_CV_AUTHORITATIVE.csv	one row of the 8-row grid	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/16d_nested_cv_reconciliation.R
R-210.Male.primary.elasticnet	Nested CV AUC - Male, primary, elasticnet	0.958 (0.902-1), per-repeat SD 0.015, median genes 20, n=38, recommended=FALSE	NESTED_CV_AUTHORITATIVE.csv	one row of the 8-row grid	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/16d_nested_cv_reconciliation.R
R-220.Female.primary.Train_(apparent)	LOCKED-TRANSFER AUC - Female, primary panel, Train (apparent)	0.869 (0.813-0.925) [n=145]	PANEL_primary_vs_noMHC_performance.csv	col reported	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/16b_model_training_final_panel_noMHC.R
R-220.Female.primary.Internal_test	LOCKED-TRANSFER AUC - Female, primary panel, Internal test	0.823 (0.719-0.928) [n=61]	PANEL_primary_vs_noMHC_performance.csv	col reported	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/16b_model_training_final_panel_noMHC.R
R-220.Female.primary.External_blood	LOCKED-TRANSFER AUC - Female, primary panel, External blood	0.957 (0.886-1.000) [n=24]	PANEL_primary_vs_noMHC_performance.csv	col reported	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/16b_model_training_final_panel_noMHC.R
R-220.Male.primary.Train_(apparent)	LOCKED-TRANSFER AUC - Male, primary panel, Train (apparent)	1.000 (1.000-1.000) [n=38] SEPARATION	PANEL_primary_vs_noMHC_performance.csv	col reported	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/16b_model_training_final_panel_noMHC.R
R-220.Male.primary.Internal_test	LOCKED-TRANSFER AUC - Male, primary panel, Internal test	1.000 (1.000-1.000) [n=13] SEPARATION	PANEL_primary_vs_noMHC_performance.csv	col reported	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/16b_model_training_final_panel_noMHC.R
R-220.Male.primary.External_blood	LOCKED-TRANSFER AUC - Male, primary panel, External blood	0.750 (0.399-1.000) [n=9]	PANEL_primary_vs_noMHC_performance.csv	col reported	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/16b_model_training_final_panel_noMHC.R
R-220.Female.noMHC.Train_(apparent)	LOCKED-TRANSFER AUC - Female, noMHC panel, Train (apparent)	0.845 (0.782-0.908) [n=145]	PANEL_primary_vs_noMHC_performance.csv	col reported	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/16b_model_training_final_panel_noMHC.R
R-220.Female.noMHC.Internal_test	LOCKED-TRANSFER AUC - Female, noMHC panel, Internal test	0.806 (0.692-0.919) [n=61]	PANEL_primary_vs_noMHC_performance.csv	col reported	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/16b_model_training_final_panel_noMHC.R
R-220.Female.noMHC.External_blood	LOCKED-TRANSFER AUC - Female, noMHC panel, External blood	0.743 (0.535-0.951) [n=24]	PANEL_primary_vs_noMHC_performance.csv	col reported	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/16b_model_training_final_panel_noMHC.R
R-220.Male.noMHC.Train_(apparent)	LOCKED-TRANSFER AUC - Male, noMHC panel, Train (apparent)	1.000 (1.000-1.000) [n=38] SEPARATION	PANEL_primary_vs_noMHC_performance.csv	col reported	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/16b_model_training_final_panel_noMHC.R
R-220.Male.noMHC.Internal_test	LOCKED-TRANSFER AUC - Male, noMHC panel, Internal test	0.917 (0.750-1.000) [n=13]	PANEL_primary_vs_noMHC_performance.csv	col reported	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/16b_model_training_final_panel_noMHC.R
R-220.Male.noMHC.External_blood	LOCKED-TRANSFER AUC - Male, noMHC panel, External blood	0.700 (0.400-1.000) [n=9]	PANEL_primary_vs_noMHC_performance.csv	col reported	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/16b_model_training_final_panel_noMHC.R
R-225.Female	DeLong, primary vs MHC-free nested CV, Female	0.816 vs 0.798, p=0.322	PANEL_primary_vs_noMHC_delong.csv	cols AUC_primary, AUC_noMHC, delong_p	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/16b_model_training_final_panel_noMHC.R
R-225.Male	DeLong, primary vs MHC-free nested CV, Male	0.896 vs 0.924, p=0.582	PANEL_primary_vs_noMHC_delong.csv	cols AUC_primary, AUC_noMHC, delong_p	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/16b_model_training_final_panel_noMHC.R
R-230.Female	Apparent / flat / nested and optimism, Female	apparent 0.869, flat 0.801, nested 0.816, optimism 0.054	mr_nested_cv_summary.csv	cols apparent_AUC, flat_CV_AUC, nested_CV_AUC, optimism_*	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/14_model_training_nested_cv.R
R-230.Male	Apparent / flat / nested and optimism, Male	apparent 1, flat 0.821, nested 0.896, optimism 0.104	mr_nested_cv_summary.csv	cols apparent_AUC, flat_CV_AUC, nested_CV_AUC, optimism_*	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/14_model_training_nested_cv.R
R-240.Female.primary.Train	WITHIN-DATASET RESAMPLED panel vs composition - Female, primary, Train	panel 0.831 vs composition 0.662 (delta 0.169), LRT p=1.21e-10, n=145, separation=FALSE	PANEL_incremental_value_LRT.csv	cols AUC_panel, AUC_composition, delta_*, LRT_p_*	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/17b_testing_blood_celladjusted.R
R-240.Female.primary.Internal_test	WITHIN-DATASET RESAMPLED panel vs composition - Female, primary, Internal test	panel 0.721 vs composition 0.714 (delta 0.007), LRT p=0.00142, n=61, separation=FALSE	PANEL_incremental_value_LRT.csv	cols AUC_panel, AUC_composition, delta_*, LRT_p_*	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/17b_testing_blood_celladjusted.R
R-240.Female.primary.External_blood	WITHIN-DATASET RESAMPLED panel vs composition - Female, primary, External blood	panel 1 vs composition 0.429 (delta 0.571), LRT p=2.42e-05, n=24, separation=TRUE	PANEL_incremental_value_LRT.csv	cols AUC_panel, AUC_composition, delta_*, LRT_p_*	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/17b_testing_blood_celladjusted.R
R-240.Male.primary.Train	WITHIN-DATASET RESAMPLED panel vs composition - Male, primary, Train	panel 0.933 vs composition 0.857 (delta 0.076), LRT p=5.21e-05, n=38, separation=TRUE	PANEL_incremental_value_LRT.csv	cols AUC_panel, AUC_composition, delta_*, LRT_p_*	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/17b_testing_blood_celladjusted.R
R-240.Male.primary.Internal_test	WITHIN-DATASET RESAMPLED panel vs composition - Male, primary, Internal test	panel 1 vs composition 0.798 (delta 0.202), LRT p=1, n=13, separation=TRUE	PANEL_incremental_value_LRT.csv	cols AUC_panel, AUC_composition, delta_*, LRT_p_*	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/17b_testing_blood_celladjusted.R
R-240.Male.primary.External_blood	WITHIN-DATASET RESAMPLED panel vs composition - Male, primary, External blood	panel 0.725 vs composition 0.575 (delta 0.15), LRT p=0.118, n=9, separation=TRUE	PANEL_incremental_value_LRT.csv	cols AUC_panel, AUC_composition, delta_*, LRT_p_*	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/17b_testing_blood_celladjusted.R
R-240.Female.noMHC.Train	WITHIN-DATASET RESAMPLED panel vs composition - Female, noMHC, Train	panel 0.812 vs composition 0.662 (delta 0.15), LRT p=4.08e-09, n=145, separation=FALSE	PANEL_incremental_value_LRT.csv	cols AUC_panel, AUC_composition, delta_*, LRT_p_*	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/17b_testing_blood_celladjusted.R
R-240.Female.noMHC.Internal_test	WITHIN-DATASET RESAMPLED panel vs composition - Female, noMHC, Internal test	panel 0.789 vs composition 0.714 (delta 0.074), LRT p=0.0322, n=61, separation=FALSE	PANEL_incremental_value_LRT.csv	cols AUC_panel, AUC_composition, delta_*, LRT_p_*	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/17b_testing_blood_celladjusted.R
R-240.Female.noMHC.External_blood	WITHIN-DATASET RESAMPLED panel vs composition - Female, noMHC, External blood	panel 0.843 vs composition 0.429 (delta 0.414), LRT p=0.000803, n=24, separation=FALSE	PANEL_incremental_value_LRT.csv	cols AUC_panel, AUC_composition, delta_*, LRT_p_*	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/17b_testing_blood_celladjusted.R
R-240.Male.noMHC.Train	WITHIN-DATASET RESAMPLED panel vs composition - Male, noMHC, Train	panel 0.888 vs composition 0.857 (delta 0.031), LRT p=1.97e-05, n=38, separation=TRUE	PANEL_incremental_value_LRT.csv	cols AUC_panel, AUC_composition, delta_*, LRT_p_*	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/17b_testing_blood_celladjusted.R
R-240.Male.noMHC.Internal_test	WITHIN-DATASET RESAMPLED panel vs composition - Male, noMHC, Internal test	panel 1 vs composition 0.798 (delta 0.202), LRT p=1, n=13, separation=TRUE	PANEL_incremental_value_LRT.csv	cols AUC_panel, AUC_composition, delta_*, LRT_p_*	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/17b_testing_blood_celladjusted.R
R-240.Male.noMHC.External_blood	WITHIN-DATASET RESAMPLED panel vs composition - Male, noMHC, External blood	panel 0.7 vs composition 0.575 (delta 0.125), LRT p=0.118, n=9, separation=TRUE	PANEL_incremental_value_LRT.csv	cols AUC_panel, AUC_composition, delta_*, LRT_p_*	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/17b_testing_blood_celladjusted.R
R-250.Female.Train.C6orf136	Per-gene AUC (train-fixed orientation) - C6orf136, Female, Train	0.784 (0.707-0.862), concordant=TRUE	mr_roc_pergene_auc.csv	cols AUC, AUC_lo, AUC_hi, concordant	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/17_testing_blood_internal_external.R
R-250.Female.Train.ESYT1	Per-gene AUC (train-fixed orientation) - ESYT1, Female, Train	0.81 (0.741-0.879), concordant=TRUE	mr_roc_pergene_auc.csv	cols AUC, AUC_lo, AUC_hi, concordant	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/17_testing_blood_internal_external.R
R-250.Female.Train.GNL1	Per-gene AUC (train-fixed orientation) - GNL1, Female, Train	0.765 (0.689-0.842), concordant=TRUE	mr_roc_pergene_auc.csv	cols AUC, AUC_lo, AUC_hi, concordant	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/17_testing_blood_internal_external.R
R-250.Female.Train.IKZF3	Per-gene AUC (train-fixed orientation) - IKZF3, Female, Train	0.738 (0.658-0.819), concordant=TRUE	mr_roc_pergene_auc.csv	cols AUC, AUC_lo, AUC_hi, concordant	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/17_testing_blood_internal_external.R
R-250.Female.Train.MED1	Per-gene AUC (train-fixed orientation) - MED1, Female, Train	0.793 (0.718-0.868), concordant=TRUE	mr_roc_pergene_auc.csv	cols AUC, AUC_lo, AUC_hi, concordant	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/17_testing_blood_internal_external.R
R-250.Female.Train.SMARCC2	Per-gene AUC (train-fixed orientation) - SMARCC2, Female, Train	0.795 (0.721-0.868), concordant=TRUE	mr_roc_pergene_auc.csv	cols AUC, AUC_lo, AUC_hi, concordant	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/17_testing_blood_internal_external.R
R-250.Female.Internal_test.C6orf136	Per-gene AUC (train-fixed orientation) - C6orf136, Female, Internal test	0.804 (0.691-0.918), concordant=TRUE	mr_roc_pergene_auc.csv	cols AUC, AUC_lo, AUC_hi, concordant	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/17_testing_blood_internal_external.R
R-250.Female.Internal_test.ESYT1	Per-gene AUC (train-fixed orientation) - ESYT1, Female, Internal test	0.8 (0.691-0.909), concordant=TRUE	mr_roc_pergene_auc.csv	cols AUC, AUC_lo, AUC_hi, concordant	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/17_testing_blood_internal_external.R
R-250.Female.Internal_test.GNL1	Per-gene AUC (train-fixed orientation) - GNL1, Female, Internal test	0.593 (0.443-0.743), concordant=TRUE	mr_roc_pergene_auc.csv	cols AUC, AUC_lo, AUC_hi, concordant	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/17_testing_blood_internal_external.R
R-250.Female.Internal_test.IKZF3	Per-gene AUC (train-fixed orientation) - IKZF3, Female, Internal test	0.66 (0.518-0.802), concordant=TRUE	mr_roc_pergene_auc.csv	cols AUC, AUC_lo, AUC_hi, concordant	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/17_testing_blood_internal_external.R
R-250.Female.Internal_test.MED1	Per-gene AUC (train-fixed orientation) - MED1, Female, Internal test	0.713 (0.582-0.845), concordant=TRUE	mr_roc_pergene_auc.csv	cols AUC, AUC_lo, AUC_hi, concordant	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/17_testing_blood_internal_external.R
R-250.Female.Internal_test.SMARCC2	Per-gene AUC (train-fixed orientation) - SMARCC2, Female, Internal test	0.837 (0.731-0.942), concordant=TRUE	mr_roc_pergene_auc.csv	cols AUC, AUC_lo, AUC_hi, concordant	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/17_testing_blood_internal_external.R
R-250.Female.External_blood.C6orf136	Per-gene AUC (train-fixed orientation) - C6orf136, Female, External blood	0.964 (0.89-1), concordant=TRUE	mr_roc_pergene_auc.csv	cols AUC, AUC_lo, AUC_hi, concordant	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/17_testing_blood_internal_external.R
R-250.Female.External_blood.ESYT1	Per-gene AUC (train-fixed orientation) - ESYT1, Female, External blood	0.836 (0.663-1), concordant=TRUE	mr_roc_pergene_auc.csv	cols AUC, AUC_lo, AUC_hi, concordant	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/17_testing_blood_internal_external.R
R-250.Female.External_blood.GNL1	Per-gene AUC (train-fixed orientation) - GNL1, Female, External blood	0.7 (0.479-0.921), concordant=TRUE	mr_roc_pergene_auc.csv	cols AUC, AUC_lo, AUC_hi, concordant	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/17_testing_blood_internal_external.R
R-250.Female.External_blood.IKZF3	Per-gene AUC (train-fixed orientation) - IKZF3, Female, External blood	0.521 (0.277-0.765), concordant=TRUE	mr_roc_pergene_auc.csv	cols AUC, AUC_lo, AUC_hi, concordant	2.9 Diagnostic model development and evaluation	scripts/goal2_sex_stratified/17_testing_blood_internal_external.R
